log_source,host_name,start,end,duration_s,n_alerts,n_distinct_proc,top_processes,dominant_features,mse_max,mse_mean
auditd,asus-x415ja,2026-07-01 14:31:47.520000+00:00,2026-07-01 14:31:47.852000+00:00,0.3,5,2,"git, sh",parent_child_rarity (5),31.1932,23.8126
auditd,asus-x415ja,2026-07-01 10:53:42.871000+00:00,2026-07-01 10:54:13.187000+00:00,30.3,6,3,"systemctl, head, pool-gnome-term",parent_child_rarity (6),31.1628,16.5043
auditd,asus-x415ja,2026-07-01 13:50:32.352000+00:00,2026-07-01 13:50:33.189000+00:00,0.8,6,5,"check-new-relea, pool-check-new-, dpkg",parent_child_rarity (6),30.1617,14.9958
syslog,ASUS-X415JA,2026-06-22 12:59:53.736000+00:00,2026-06-22 12:59:53.736000+00:00,0.0,2,1,fstrim,proc_rarity (2),29.8504,27.0501
auditd,asus-x415ja,2026-07-01 11:27:20.896000+00:00,2026-07-01 11:29:33.715000+00:00,132.8,2,2,"echo, df","parent_child_rarity (1), exe_path_rarity (1)",29.0359,19.6325
auditd,asus-x415ja,2026-07-01 11:06:20.492000+00:00,2026-07-01 11:06:20.492000+00:00,0.0,1,1,echo,parent_child_rarity (1),29.016,29.016
auditd,asus-x415ja,2026-07-01 18:06:06.032000+00:00,2026-07-01 18:06:06.045000+00:00,0.0,3,3,"bash, alsactl, (apport)","et_bigram_rarity (1), exe_path_rarity (1), parent_child_rarity (1)",28.6699,21.7968
auth,ASUS-X415JA,2026-06-27 09:16:40.579000+00:00,2026-06-27 09:16:40.579000+00:00,0.0,1,0,,distinct_ips_5m_user (1),27.0334,27.0334
syslog,ASUS-X415JA,2026-06-22 12:47:29.454000+00:00,2026-06-22 12:47:29.454000+00:00,0.0,1,1,containerd,et_bigram_rarity (1),25.7531,25.7531
syslog,ASUS-X415JA,2026-06-21 10:31:57.311000+00:00,2026-06-21 10:31:57.311000+00:00,0.0,1,1,dnsmasq-dhcp,proc_rarity (1),24.0374,24.0374
auth,ASUS-X415JA,2026-07-01 11:38:29.678000+00:00,2026-07-01 11:38:50.270000+00:00,20.6,63,4,"sshd, useradd, sudo","distinct_users_5m_ip (59), msg_length_log (2), inter_arrival_log (1)",23.1851,15.335
syslog,ASUS-X415JA,2026-06-20 11:07:13.630000+00:00,2026-06-20 11:08:02.616000+00:00,49.0,3,3,"evolution-calen, systemd-timesyncd, charon","proc_rarity (1), et_bigram_rarity (1), inter_arrival_log (1)",21.3193,16.7069
syslog,ASUS-X415JA,2026-06-25 07:31:15.158000+00:00,2026-06-25 07:31:15.158000+00:00,0.0,1,1,systemd-timesyncd,et_bigram_rarity (1),21.2173,21.2173
syslog,ASUS-X415JA,2026-06-21 12:10:14.761000+00:00,2026-06-21 12:10:14.761000+00:00,0.0,1,1,dnsmasq-dhcp,proc_rarity (1),19.9117,19.9117
auth,ASUS-X415JA,2026-06-22 13:40:11.078000+00:00,2026-06-22 13:40:41.598000+00:00,30.5,60,1,sshd,"distinct_users_5m_ip (58), inter_arrival_log (1), auth_fail_ratio (1)",18.3479,12.7537
